title,model_family,generation_number,is_pro,storage_gb_numeric,condition,price,wasPrice,price_discount_pct,available,sold,was_lot
Apple iPhone 14 Pro MAX 1 TB Deep purple (Factory Unlocked),iPhone 14 Pro Max,14.0,True,1024.0,Used,628.99,,,0.0,1.0,False
Apple iPhone 14 Pro Max - 128 GB - ALL COLORS (Unlocked)- Very Good Refurb,iPhone 14 Pro Max,14.0,True,128.0,Very Good - Refurbished,469.99,,,5.0,2.0,False
open box Apple iPhone 14 Pro MAX 256GB FULLY Unlocked,iPhone 14 Pro Max,14.0,True,256.0,Open Box,729.99,,,0.0,2.0,False
Apple iPhone 14 -5G - 512GB Factory Unlocked GSM + CDMA - EXCELLENT,iPhone 14,14.0,False,512.0,Excellent - Refurbished,397.48,,,9.0,30.0,False
OPEN BOX Apple iPhone 17 A3258 256GB 512GB BLACK SAGE LAVENDER BLUE (Unlocked),iPhone 17,17.0,False,256.0,Open Box,779.0,,,0.0,48.0,False
Apple iPhone 13 128GB Unlocked FACTORY UNLOCKED - EXCELLENT,iPhone 13,13.0,False,128.0,Excellent - Refurbished,249.48,,,0.0,121.0,False
open box Apple iPhone 13 128GB Blue Unlocked 1 year ex warranty,iPhone 13,13.0,False,128.0,Open Box,329.99,,,0.0,1.0,False
NEW open box Apple iPhone 17 pro max 512GB Unlocked all colors,iPhone 17 Pro Max,17.0,True,512.0,Open Box,1444.99,,,0.0,1.0,False
Apple iPhone 12 64GB 128GB 256GB - Unlocked - All Colors - GOOD CONDITION,iPhone 12,12.0,False,64.0,Good - Refurbished,135.99,,,2.0,481.0,False
Apple iPhone 14 Pro Max 256GB/512GB/1TB -Deep Purple UNLOCKED,iPhone 14 Pro Max,14.0,True,256.0,Open Box,1119.2,1399.0,20.0,0.0,85.0,False
Brand new factory sealed Apple iPhone 14 Pro Max - 256GB - Gold (Unlocked),iPhone 14 Pro Max,14.0,True,256.0,New,1406.5,,,0.0,2.0,False
Lot of 10 Apple iPhone 12 Unlocked 64gb Mixed Colors,iPhone 12,12.0,False,64.0,Used,211.0,,,0.0,20.0,True
Apple iPhone 14 Pro MAX 256GB FULLY Unlocked,iPhone 14 Pro Max,14.0,True,256.0,Used,669.99,,,0.0,3.0,False
Apple iPhone 14 128gb white color Factory Unlocked,iPhone 14,14.0,False,128.0,Used,329.99,,,2.0,1.0,False
Apple iPhone 14 A2649 iOS Smartphone 128GB/ 256GB-UNLOCKED/AT&T/T-Mobile/Verizon,iPhone 14,14.0,False,128.0,Excellent - Refurbished,349.99,,,0.0,7.0,False
New Sealed Apple iPhone 14 Pro Max/13 ProMax/SE 3rd/14/13/13 Mini/12 Mini 5G LOT,iPhone 14 Pro Max,14.0,True,128.0,New,314.11,,,0.0,1.0,False
Apple iPhone 15 256GB Factory Unlocked CDMA + GSM - Excellent,iPhone 15,15.0,False,256.0,Excellent - Refurbished,419.48,,,5.0,85.0,False
💯New Sealed Apple iPhone 13 MINI A2481 128GB /256GB Factory Unlocked Smartphone,iPhone 13 Mini,13.0,False,128.0,New,321.88,,,2.0,5.0,False
Apple iPhone 15 128GB Factory Unlocked CDMA + GSM - OPEN BOX,iPhone 15,15.0,False,128.0,Open Box,389.48,,,7.0,189.0,False
New Apple iPhone 13/14/12 Mini/13 Mini /14 Pro Max/SE 3rd Unlocked 2yr-wty LOT,iPhone 13,13.0,False,128.0,New,314.11,,,0.0,2.0,False
New Sealed Unlocked Apple iPhone 17 Pro Max 6.9-inch A3257 Deep Blue 2TB,iPhone 17 Pro Max,17.0,True,2048.0,New,2559.96,3199.95,20.0,0.0,1.0,False
New Unlocked Apple iPhone 17 Pro Max 6.9-inch A3257 Cosmic Orange 256GB,iPhone 17 Pro Max,17.0,True,256.0,New,1699.0,,,0.0,7.0,False
Apple iPhone 15 128/256/512GB Unlocked Very Good All Colors,iPhone 15,15.0,False,512.0,Very Good - Refurbished,384.03,799.99,52.0,0.0,930.0,False
Apple iPhone 15 128/256/512GB Unlocked Excellent All Colors,iPhone 15,15.0,False,512.0,Excellent - Refurbished,412.86,799.99,48.39,0.0,222.0,False
Apple iPhone 14 128gb BLUE Factory Unlocked open box battery health,iPhone 14,14.0,False,128.0,Open Box,314.99,,,0.0,2.0,False
New Apple iPhone 13 Mini 256GB/128GB 5G Fully Factory Unlocked for All Carrier！,iPhone 13 Mini,13.0,False,128.0,New,321.88,,,2.0,1.0,False
Factory New Apple iPhone 14 Pro Max/13 Pro /SE 3rd/14/12 Pro/12 Mini/13 Mini LOT,iPhone 14 Pro Max,14.0,True,128.0,New,314.11,,,0.0,2.0,False
Factory New Apple iPhone 13 Mini /12 Mini /14 Pro Max /14/13/SE 3rd Unlocked LOT,iPhone 13 Mini,13.0,False,128.0,New,314.11,,,0.0,3.0,False
open box Apple iPhone 13 128GB pink color Unlocked,iPhone 13,13.0,False,128.0,Open Box,326.99,,,0.0,1.0,False
Apple iPhone 12 Pro Max - 256 GB - Pacific Blue - Unlocked - Good Refurbished,iPhone 12 Pro Max,12.0,True,256.0,Good - Refurbished,304.99,,,3.0,6.0,False
Apple iPhone 14 128GB 256GB - Unlocked AT&T Verizon T-Mobile - All Colors,iPhone 14,14.0,False,128.0,Used,229.99,,,10.0,1.0,False
Apple iPhone 17 256GB Unlocked Excellent All Colors,iPhone 17,17.0,False,256.0,Excellent - Refurbished,743.81,799.0,6.91,10.0,60.0,False
Apple iPhone 17 256GB Unlocked Very Good All Colors,iPhone 17,17.0,False,256.0,Very Good - Refurbished,669.86,,,10.0,218.0,False
Apple iPhone 17 256GB Unlocked Good All Colors,iPhone 17,17.0,False,256.0,Good - Refurbished,661.03,799.0,17.27,10.0,175.0,False
Apple iPhone 17 512GB Unlocked Very Good All Colors,iPhone 17,17.0,False,512.0,Very Good - Refurbished,931.96,,,10.0,1.0,False
Apple iPhone 17 Pro Max 512GB Unlocked Very Good All Colors,iPhone 17 Pro Max,17.0,True,512.0,Very Good - Refurbished,1275.88,,,10.0,299.0,False
Apple iPhone 17 Pro Max 512GB Unlocked Good All Colors,iPhone 17 Pro Max,17.0,True,512.0,Good - Refurbished,1364.8,1399.0,2.44,9.0,58.0,False
Apple iPhone 17 Pro Max 256GB Unlocked Very Good All Colors,iPhone 17 Pro Max,17.0,True,256.0,Very Good - Refurbished,1148.88,,,0.0,1752.0,False
Factory New Apple iPhone 13 MINI (5G) 128GB/256GB Unlocked Smartphone 2-YRS-WTY,iPhone 13 Mini,13.0,False,128.0,New,321.88,,,2.0,1.0,False
Apple iPhone 16 - 128GB - Black (Unlocked) - NEW & SEALED,iPhone 16,16.0,False,128.0,New,639.95,,,2.0,1.0,False
Apple iPhone 17e 256GB Factory Unlocked Physical SIM Card A3634 - New,iPhone 17,17.0,False,256.0,New,779.95,,,2.0,3.0,False
"Apple iPhone 13 Mini - Fully Unlocked - 5.4"" - 128GB - Excellent",iPhone 13 Mini,13.0,False,128.0,Very Good - Refurbished,319.0,599.0,46.74,0.0,235.0,False
"Apple iPhone 12, Unlocked Smartphone, 64GB, 128GB, 256GB - SYDNEY STOCK",iPhone 12,12.0,False,64.0,New,541.9,,,10.0,61.0,False
"Apple iPhone 13 Mini - Fully Unlocked - 5.4"" - 128GB - Good",iPhone 13 Mini,13.0,False,128.0,Good - Refurbished,299.0,569.0,47.45,0.0,73.0,False
"Apple iPhone 13 Unlocked Smartphone, 128GB, 256GB, SYDNEY STOCK",iPhone 13,13.0,False,128.0,New,691.9,,,10.0,7.0,False
Apple iPhone 12 - 128gb - Blue fully unlocked works over seas only - Excellent,iPhone 12,12.0,False,128.0,Excellent - Refurbished,419.88,,,2.0,3.0,False
Apple iPhone 12 Pro Max 5G 256GB Factory Unlocked / TMOBILE / XFINITY / METRO,iPhone 12 Pro Max,12.0,True,256.0,Excellent - Refurbished,369.48,,,0.0,23.0,False
"iPhone 12 Pro Max, Unlocked Smartphone, 128GB, 256GB, 512GB - SYDNEY STOCK",iPhone 12 Pro Max,12.0,True,128.0,New,751.9,,,10.0,20.0,False
